id,name,side,count,grouping,image,summary,tip,source_url
1,Bullish Engulfing,Bullish,2,ขาขึ้น 2 ตัว,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=bullish,แท่งเขียวกลืนแท่งแดงก่อนหน้า สัญญาณกลับตัวขึ้น,"ให้เกิดหลังจากลง, ถ้าวอลุ่มมากยิ่งดี",https://www.investopedia.com/terms/b/bullishengulfingpattern.asp
2,Hammer,Bullish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=hammer,ไส้ล่างยาว ลำตัวเล็ก เกิดปลายขาลง,"รอแท่งเขียวถัดไปยืนยัน, ใช้ใกล้แนวรับ",https://www.investopedia.com/terms/h/hammer.asp
3,Morning Star,Bullish,3,ขาขึ้น 3 ตัว,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=morning,แดงใหญ่→ดาว→เขียวใหญ่ กลับตัวขึ้นแรง,แท่งที่ 3 ควรปิดทะลุกลางแท่งแรก,https://www.investopedia.com/terms/m/morningstar.asp
4,Piercing Pattern,Bullish,2,ขาขึ้น 2 ตัว,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=piercing,เขียวเปิดต่ำแล้วปิดทะลุกลางแท่งแดง,"ใช้ตอนย่อในขาขึ้น, ดีมากถ้าชน EMA",https://www.investopedia.com/terms/p/piercingpattern.asp
5,Three White Soldiers,Bullish,3,ขาขึ้น 3 ตัว,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=3white,เขียว 3 แท่งเรียง ปิดสูงขึ้นเรื่อยๆ แรงซื้อชัด,"อย่าไล่ถ้าเกิดสูงเกิน, ดูวอลุ่มประกอบ",https://www.investopedia.com/terms/t/three_white_soldiers.asp
6,Marubozu Green,Bullish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=maruG,แท่งเขียวยาวไม่มีไส้ บอกแรงซื้อเต็ม,ใช้เป็นแท่งยืนยันหลัง pattern อื่น,
7,Tweezer Bottom,Bullish,2,กลับตัว 2 แท่ง,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=tweezer,สองแท่งลงจบที่ราคาใกล้กัน แสดงแนวรับชัด,"ใช้คู่กับโซนรับเดิม, รอเขียวตาม",
8,Harami Bullish,Bullish,2,ขาขึ้น 2 ตัว,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=haramiB,แท่งเขียวเล็กอยู่ในตัวแดงก่อนหน้า บอกแรงขายเริ่มลด,ต้องมีแท่งถัดไปปิดสูงยืนยัน,https://www.investopedia.com/terms/h/harami.asp
9,Dragonfly Doji,Bullish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=doji,โดจิหางล่างยาว แรงซื้อดันกลับปลายแท่ง,"ใช้เฉพาะท้ายขาลง, ต้องมีแท่งถัดไปยืนยัน",
10,Inverted Hammer,Bullish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=invHam,ไส้บนยาว ตัวเล็ก เกิดปลายลง บอกแรงซื้อลองดันแล้ว,"รอแท่งเขียวตาม, ถ้าเบรกไส้บนได้ ดีมาก",
